Participant,List,Trial,Condition,Event Category,Event Type,Layer,Hotspot,Trial Start,Elapsed,X,Y,image-left,image-right,audio
16,4_4,rooster,4_4FillerL,mouse,click,fixation,,1543599681677.8,2219.2999999970198,525,360,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,click,fixation,,1543599681677.8,2219.2999999970198,525,360,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,click,fixation,,1543599681677.8,2219.2999999970198,525,360,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,layer,show,image-left,,1543599681677.8,2223.999999987427,,,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,layer,show,image-right,,1543599681677.8,2223.999999987427,,,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2427.5999999954365,526,361,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2435.60000002617,527,362,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2451.60000002943,531,366,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2475.5000000004657,537,373,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2491.5000000037253,542,379,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2507.500000006985,547,387,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2523.5000000102445,553,396,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2539.500000013504,560,406,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2555.400000012014,565,414,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2571.700000029523,570,422,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2587.500000023283,573,429,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2603.5000000265427,577,434,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2619.600000034552,578,438,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2635.500000033062,579,440,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2651.5000000363216,580,441,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,2675.600000016857,581,442,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,layer,playbackstart,audio,,1543599681677.8,3227.6999999885447,,,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,5199.300000036601,587,442,fr_rooster.png,d44.png,f_rooster_.wav
16,4_4,rooster,4_4FillerL,mouse,move,canvas,,1543599681677.8,5207.300000009127,595,439,fr_rooster.png,d44.png,f_rooster_.wav
