Participant,List,Trial,Condition,Event Category,Event Type,Layer,Hotspot,Trial Start,Elapsed,X,Y,Browser,Version,OS,image-left,image-right,audio
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,2001.0249999999141,514,348,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,layer,playbackend,audio,,1549630090551.83,2744.434999999954,,,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,2983.5999999999112,489,348,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,2991.0299999999042,454,348,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,3005.499999999978,356,348,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,3027.5199999999822,248,353,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,image-left,,1549630090551.83,3042.275000000016,217,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,image-left,,1549630090551.83,3056.939999999937,197,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,image-left,,1549630090551.83,3071.569999999949,188,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,image-left,,1549630090551.83,3093.9899999999616,182,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,image-left,,1549630090551.83,3101.0449999999983,180,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,image-left,,1549630090551.83,3123.1149999999834,178,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,image-left,,1549630090551.83,3145.144999999953,176,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,image-left,,1549630090551.83,3159.729999999967,175,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,image-left,,1549630090551.83,3262.3699999999153,176,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,click,image-left,,1549630090551.83,4208.76499999997,176,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,stage,end,,,1549630090551.83,4218.174999999974,,,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bread,2_1FluentR,mouse,click,fixation,,1549630097143.73,0,504,355,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,layer,show,image-left,,1549630097143.73,4.13499999990745,,,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,layer,show,image-right,,1549630097143.73,4.149999999979627,,,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,168.09000000001106,504,357,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,182.86000000000058,504,361,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,204.8049999999639,504,370,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,219.56999999997788,504,375,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,234.1249999999418,504,379,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,248.7599999999511,504,382,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,256.37999999991735,504,383,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,278.00999999999476,504,385,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,300.0349999999744,504,388,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,314.9899999999616,504,389,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,322.04999999998836,504,390,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,layer,playbackstart,audio,,1549630097143.73,1020.1849999999686,,,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,layer,playbackend,audio,,1549630097143.73,2612.079999999987,,,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,2859.6349999999074,524,388,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,2867.029999999999,592,383,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
46,2_1,bread,2_1FluentR,mouse,move,canvas,,1549630097143.73,2881.3549999999814,715,379,chrome,72.0.3626,Windows 10,d06.png,t_bread.png,e_bread_f.wav
