Participant,Question,Answers...
217,Please enter your MTurk Worker ID,A3BUDCPNZKPOTQ
217,Was any language besides English spoken in your home before the age of 6?,No - Only English
218,Please enter your MTurk Worker ID,A2337W0S5B5GT8
218,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
219,Please enter your MTurk Worker ID,A36L34B23C5U1E
219,Was any language besides English spoken in your home before the age of 6?,No - Only English
221,Please enter your MTurk Worker ID,A3CIO03DHIR6K1
221,Was any language besides English spoken in your home before the age of 6?,No - Only English
220,Please enter your MTurk Worker ID,A2EOQRKVJAY5UR
220,Was any language besides English spoken in your home before the age of 6?,No - Only English
222,Please enter your MTurk Worker ID,AZGT2TMVBWFWI
222,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
221,Please enter your MTurk Worker ID,A3CIO03DHIR6K1
221,Was any language besides English spoken in your home before the age of 6?,No - Only English
223,Please enter your MTurk Worker ID,A3CIO03DHIR6K1
223,Was any language besides English spoken in your home before the age of 6?,No - Only English
224,Please enter your MTurk Worker ID,A349VK0RERGESB
224,Was any language besides English spoken in your home before the age of 6?,No - Only English
227,Please enter your MTurk Worker ID,A349VK0RERGESB
227,Was any language besides English spoken in your home before the age of 6?,No - Only English
228,Please enter your MTurk Worker ID,A10M83EQ8G7ZQZ
228,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
220,Please enter your MTurk Worker ID,A2EOQRKVJAY5UR
220,Was any language besides English spoken in your home before the age of 6?,No - Only English
229,Please enter your MTurk Worker ID,A2EOQRKVJAY5UR
229,Was any language besides English spoken in your home before the age of 6?,No - Only English
230,Please enter your MTurk Worker ID,A10M83EQ8G7ZQZ
230,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
231,Please enter your MTurk Worker ID,A2Z1TG8NWI71I8
231,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
232,Please enter your MTurk Worker ID,AZ6XACZD4J9VW
232,Was any language besides English spoken in your home before the age of 6?,No - Only English
233,Please enter your MTurk Worker ID,AZ6XACZD4J9VW
233,Was any language besides English spoken in your home before the age of 6?,No - Only English
234,Please enter your MTurk Worker ID,AZ6XACZD4J9VW
234,Was any language besides English spoken in your home before the age of 6?,No - Only English
232,Please enter your MTurk Worker ID,AZ6XACZD4J9VW
232,Was any language besides English spoken in your home before the age of 6?,No - Only English
233,Please enter your MTurk Worker ID,AZ6XACZD4J9VW
233,Was any language besides English spoken in your home before the age of 6?,No - Only English
235,Please enter your MTurk Worker ID,A2CYIETLZ16U9B
235,Was any language besides English spoken in your home before the age of 6?,No - Only English
236,Please enter your MTurk Worker ID,A1I8EWT2DMNAKU
236,Was any language besides English spoken in your home before the age of 6?,No - Only English
237,Please enter your MTurk Worker ID,A20M9R65VFYZGM
237,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
238,Please enter your MTurk Worker ID,A35K8JNOQ129T5
238,Was any language besides English spoken in your home before the age of 6?,No - Only English
239,Please enter your MTurk Worker ID,A10I4XP63D6GG
239,Was any language besides English spoken in your home before the age of 6?,No - Only English
240,Please enter your MTurk Worker ID,A10I4XP63D6GG
240,Was any language besides English spoken in your home before the age of 6?,No - Only English
242,Please enter your MTurk Worker ID,A10I4XP63D6GG
242,Was any language besides English spoken in your home before the age of 6?,No - Only English
240,Please enter your MTurk Worker ID,A10I4XP63D6GG
240,Was any language besides English spoken in your home before the age of 6?,No - Only English
239,Please enter your MTurk Worker ID,A10I4XP63D6GG
239,Was any language besides English spoken in your home before the age of 6?,No - Only English
243,Please enter your MTurk Worker ID,A10I4XP63D6GG
243,Was any language besides English spoken in your home before the age of 6?,No - Only English
244,Please enter your MTurk Worker ID,A16PE8BQQ0NOKS
244,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
245,Please enter your MTurk Worker ID,A23O1BVAY4JGJ2
245,Was any language besides English spoken in your home before the age of 6?,No - Only English
247,Please enter your MTurk Worker ID,A9WSNYLAXOTGZ
247,Was any language besides English spoken in your home before the age of 6?,No - Only English
248,Please enter your MTurk Worker ID,A25VKRGW3A4ZPC
248,Was any language besides English spoken in your home before the age of 6?,No - Only English
250,Please enter your MTurk Worker ID,A14MCHQB6Z8MVT
250,Was any language besides English spoken in your home before the age of 6?,No - Only English
249,Please enter your MTurk Worker ID,A1FW75UD8AIWH0
249,Was any language besides English spoken in your home before the age of 6?,No - Only English
251,Please enter your MTurk Worker ID,A150VF92FS1DBG
251,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
252,Please enter your MTurk Worker ID,A226GFPMDB2SVS
252,Was any language besides English spoken in your home before the age of 6?,No - Only English
254,Please enter your MTurk Worker ID,A29JU0NOXFXPSM
254,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
255,Please enter your MTurk Worker ID,A3AYBSE0KUKC2E
255,Was any language besides English spoken in your home before the age of 6?,No - Only English
256,Please enter your MTurk Worker ID,A339D7KJ8ALWO6
256,Was any language besides English spoken in your home before the age of 6?,No - Only English
257,Please enter your MTurk Worker ID,AMI8IR1155BK3
257,Was any language besides English spoken in your home before the age of 6?,No - Only English
258,Please enter your MTurk Worker ID,AI5E0YF7TZ8RY
258,Was any language besides English spoken in your home before the age of 6?,No - Only English
261,Please enter your MTurk Worker ID,A3OSX48PZJ9L4S
261,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
262,Please enter your MTurk Worker ID,A3UVGDHG6324FB
262,Was any language besides English spoken in your home before the age of 6?,Yes - Some other language and not English
263,Please enter your MTurk Worker ID,A23KNYW5XJ9FKD
263,Was any language besides English spoken in your home before the age of 6?,No - Only English
264,Please enter your MTurk Worker ID,A3MZSIEQT9AEXP
264,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
